tap_index,coeff_float
0,6.683017394930302890e-01
1,6.238258060591306275e-01
2,9.922799895171227069e-01
3,-8.801640378132633558e-01
4,3.744745756635337042e-02
5,-6.869745024209593653e-01
6,1.274087862548499483e+00
7,-5.072284667698648830e-01
8,-1.386470225045668969e-01
9,-2.092453394905676445e-01
10,2.899620219367311513e-01
11,4.764750351249103510e-01
12,-8.779926089089862273e-01
13,3.353870360436038700e-01
14,1.065282876789788169e-01
15,1.377442262140822216e-01
16,-2.186608350772252241e-01
17,-3.593615362832375260e-01
18,7.473868787866198016e-01
19,-3.282102602260719704e-01
20,-1.899874138349965103e-01
21,1.048506847236717054e-01
22,8.729514995867657112e-02
23,2.439796013532000707e-01
24,-6.256643067740135233e-01
25,3.332868761388692591e-01
26,2.882553816521324364e-01
27,-4.139571243652385157e-01
28,1.038955417735850095e-01
29,-3.241384356203470818e-02
30,2.324398601835705735e-01
31,-1.658704734105117817e-01
32,-1.658704734105117817e-01
33,2.324398601835705735e-01
34,-3.241384356203470818e-02
35,1.038955417735850095e-01
36,-4.139571243652385157e-01
37,2.882553816521324364e-01
38,3.332868761388692591e-01
39,-6.256643067740135233e-01
40,2.439796013532000707e-01
41,8.729514995867657112e-02
42,1.048506847236717054e-01
43,-1.899874138349965103e-01
44,-3.282102602260719704e-01
45,7.473868787866198016e-01
46,-3.593615362832375260e-01
47,-2.186608350772252241e-01
48,1.377442262140822216e-01
49,1.065282876789788169e-01
50,3.353870360436038700e-01
51,-8.779926089089862273e-01
52,4.764750351249103510e-01
53,2.899620219367311513e-01
54,-2.092453394905676445e-01
55,-1.386470225045668969e-01
56,-5.072284667698648830e-01
57,1.274087862548499483e+00
58,-6.869745024209593653e-01
59,3.744745756635337042e-02
60,-8.801640378132633558e-01
61,9.922799895171227069e-01
62,6.238258060591306275e-01
63,6.683017394930302890e-01
