metric,value
float_coefficients_csv,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\full_combined_20260605_090952\l1_09_fix_allpass_iir_fs\allpass_coefficients.csv
float_response_csv,C:\Users\bjwb0005\Documents\Rigol_work\L1-08+L1-09\data\full_combined_20260605_090952\l1_09_fix_allpass_iir_fs\allpass_response.csv
section_count,8
total_bits,18
frac_bits,15
coeff_lsb,3.051757812500000e-05
coeff_range,-4.000000000000e+00 to 3.999969482422e+00
saturation_count,0
max_abs_coeff_error,1.520833025004e-05
rms_coeff_error,8.819765321367e-06
max_pole_radius,0.954580727458
stable,True
fixed_allpass_magnitude_ripple_db,1.224695882523e-13
fixed_allpass_max_abs_magnitude_error_db,6.460994025907e-14
fixed_vs_float_phase_error_rms_rad,3.797602913854e-04
fixed_vs_float_phase_error_max_abs_rad,6.566070452436e-04
float_compensated_group_delay_ripple_pp_ns,2.108406025
fixed_compensated_group_delay_ripple_pp_ns,2.108794202
fixed_vs_float_compensated_group_delay_rms_ns,3.534422100080e-04
fixed_vs_float_compensated_group_delay_max_abs_ns,8.686432326410e-04
